,title,goal,area,time,fee,reward,notes,rank
120,Basarios: Unseen Peril,Hunt the Basarios,Volcano (Day),50mins,570z,6900z,Required for next Urgent,5.0
136,The Fierce Black Horn,Hunt the Black Diablos,Desert (Day),50mins,750z,9000z,Required for next Urgent,6.0
140,Black Rock in the Swamp,Hunt the Black Gravios,Swamp (Night),50mins,750z,9000z,Required for next Urgent,6.0
142,"Blue Sky, Pink Earth",Hunt the Azure Rathalos and Pink Rathian,Forest & Hills (Day),50mins,1500z,18000z,Required for next Urgent,6.0
144,Deny the Silver Rathalos,Hunt the Silver Rathalos,Tower,50mins,830z,9900z,"Required for next Urgent. Hunt a combined total of 100 Bird, Flying, or Piscine Wyverns (excluding small monsters, and Dromes other than Cephadrome) to unlock.",6.0
145,Find the Gold Phantom,Hunt the Gold Rathian,Tower,50mins,750z,9000z,"Required for next Urgent. Hunt a combined total of 100 Bird, Flying, or Piscine Wyverns (excluding small monsters, and Dromes other than Cephadrome) to unlock.",6.0
179,Daimyo of Sengoku Fame,Hunt the Plum D.Hermitaur,Old Desert,50mins,880z,10500z,Required for Urgent Quest,7.0
181,Old Jungle Lightning,Hunt the Khezu,Old Jungle,50mins,780z,9300z,Required for Urgent Quest,7.0
184,Eyes in the Underground Lake,Hunt the Plesioth,Old Desert,50mins,800z,9600z,Required for Urgent Quest,7.0
187,Pelagus Pride,Hunt the Emerald Congalala,Old Jungle,50mins,880z,10500z,Required for Urgent Quest,7.0
190,"Old Swamp, Shrouded in Mist",Hunt 2 Purple Gypceros,Old Swamp,50mins,1350z,14100z,Required for Urgent Quest,7.0
199,Lavasioth Sighting!,Hunt the Lavasioth,Volcano (Day),50mins,1100z,13200z,Required for Urgent Quest,8.0
204,Under the Gaze of Heaven,Hunt the Shogun Ceanataur and the Terra S. Ceanataur,Swamp (Night),50mins,1920z,23100z,Required for Urgent Quest,8.0
206,"A King, Robed in Smoke",Hunt the Rathalos,Old Volcano,50mins,1050z,12600z,Required for Urgent Quest,8.0
208,Her Eternal Majesty,Hunt the Rathian,Old Swamp,50mins,1000z,12000z,Required for Urgent Quest,8.0
214,Wild Monk of the Dunes,Hunt the Copper Blangonga,Desert (Day),50mins,1120z,13500z,Required for Urgent Quest,8.0
222,Absolute Power,Hunt the Tigrex,SnwyMntains (Day),50mins,1150z,13800z,Required for Urgent Quest,9.0
226,Black Phalanges,Hunt 2 Black Diablos,Old Desert,50mins,2250z,27000z,Required for Urgent Quest,9.0
227,Armored Supremacy,Hunt the Gravios,Old Swamp,50mins,1150z,13800z,Required for Urgent Quest,9.0
230,Explore the Unexplored,Hunt the Silver Rathalos,Tower,50mins,1350z,16200z,Required for Urgent Quest,9.0
231,A Single Beam of Moonlight,Hunt the Gold Rathian,Tower,50mins,1300z,15600z,Required for Urgent Quest,9.0
250,The Approaching Gaoren,Defend the Town from Shen Gaoren,Town,30mins,3500z,42000z,You will fail if the Fort Integrity reaches Zero / Required for Urgent Quest,9.0
196,Ever-Present Shadow,Hunt the Nargacuga,GrtForest (Night),50mins,1050z,12600z,HR8 Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
167,"Hypno, Hypno!",Hunt 2 Hypnocatrices,Great Forest (Day),50mins,3000z,36000z,Unlocks G★ (G-Rank) quests; HR7 Rank-Up,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,9.0
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,9.0
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,9.0
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,9.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,9.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),9.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),9.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
167,"Hypno, Hypno!",Hunt 2 Hypnocatrices,Great Forest (Day),50mins,3000z,36000z,Unlocks G★ (G-Rank) quests; HR7 Rank-Up,9.0
41,The Ruler of the Snow,Hunt the Blangonga,Snowy Mountains (Night),50mins,500z,6000z,Unlocks LV★★★★ quests; HR2 Rank-Up,
68,Absolute Power,Hunt the Tigrex,Snowy Mountains (Day),50mins,550z,6600z,Unlocks LV★★★★★ quests; HR3 Rank-Up,
88,The Approaching Gaoren,Slay or repel the Shen Gaoren,Fortress,35mins,1000z,12000z,Unlocks LV★★★★★★ (High Rank) quests; HR4 Rank-Up,
102,Lao-Shan Lung Draws Near!,Defend the Fortress from Ashen Lao-Shan Lung,Fortress,35mins,2000z,24000z,Unlocks LV★★★★★★★ quests; HR5 Rank-Up,4.0
130,Land of the Tremors,Hunt 2 Tigrex,Snowy Mountains (Night),50mins,1250z,15000z,Unlocks LV★★★★★★★★ quests; HR6 Rank-Up,5.0
193,Ever-Present Shadow ,Hunt the Nargacuga ,GrtForest (Night),50mins,1050z,12600z,Lv G★ Urgent Quest (For HR8),7.0
221,The Floating Dragon,Slay the Yama Tsukami ,Tower,50mins,2500z,30000z,Lv G★★ Urgent Quest (For HR9),8.0
251,Absolute Zero,Slay the Ukanlos ,SnwyMtnsPeak,50mins,5000z,60000z,Lv G★★★ Urgent Quest,9.0
167,"Hypno, Hypno!",Hunt 2 Hypnocatrices,Great Forest (Day),50mins,3000z,36000z,Unlocks G★ (G-Rank) quests; HR7 Rank-Up,6.0
